time,open,high,low,close,volume
947548800,95.94,99.37,90.5,92.75,3942400
947635200,95.0,95.5,86.5,87.19,8714900
947721600,94.48,98.75,92.5,96.75,9220400
947808000,100.0,102.25,99.37,100.44,3485500
948153600,101.0,106.0,100.44,103.94,4099800
948240000,105.62,108.75,103.37,106.56,5336100
948326400,115.5,121.5,113.5,113.5,16349400
948412800,114.25,114.25,110.19,111.31,4427900
948672000,108.44,112.75,105.12,106.25,3936400
948758400,105.0,113.12,102.37,112.25,4438800
948844800,110.0,114.19,109.75,110.19,3278200
948931200,108.81,113.0,107.0,110.0,3037000
949017600,108.19,110.87,100.62,101.62,3779900
949276800,101.0,103.87,94.5,103.75,6265000
949363200,104.0,105.0,100.0,100.25,2839600
949449600,100.75,102.12,97.0,98.81,4144600
949536000,100.31,104.25,100.25,103.31,4242800
949622400,103.94,110.0,103.62,108.0,3797500
949881600,108.0,114.25,105.94,114.06,3938100
949968000,114.0,116.12,111.25,114.87,3648600
950054400,114.12,117.12,112.44,112.62,2672900
950140800,112.87,113.87,110.0,113.5,2705200
950227200,113.62,114.12,108.25,108.75,1895100
950486400,109.31,115.87,108.62,115.81,3281600
950572800,115.25,119.94,115.19,119.0,4337000
950659200,117.75,118.12,112.12,114.12,3377200
950745600,115.19,115.5,113.12,114.87,2584800
950832000,114.62,115.37,110.87,111.25,2084300
951177600,110.12,116.94,106.69,113.81,3770500
951264000,113.23,119.0,111.0,116.25,4224100
951350400,117.31,119.12,111.75,115.2,3361000
951436800,114.81,117.0,110.12,110.37,2224500
951696000,110.12,115.0,108.37,113.25,2931500
951782400,113.56,117.25,112.56,114.62,3294300
951868800,118.56,132.06,118.5,130.31,9616100
951955200,127.0,127.94,120.69,122.0,2779100
952041600,124.87,128.23,120.0,128.0,2887200
952300800,126.0,129.13,125.0,125.69,1880000
952387200,126.44,127.44,121.12,122.87,2437600
952473600,122.87,123.94,118.56,122.0,2421700
952560000,120.87,125.0,118.25,122.25,2470700
952646400,121.69,127.94,121.0,125.75,2219700
952905600,122.12,126.5,119.5,121.31,2713900
952992000,121.22,124.25,114.0,114.25,3826600
953078400,115.62,120.25,114.12,116.25,3960800
953164800,117.31,122.0,114.5,121.56,3375900
953251200,120.12,125.0,119.62,125.0,2723600
953510400,123.5,126.25,122.37,123.0,1825800
953596800,122.56,136.75,121.62,134.94,4681500
953683200,132.78,144.38,131.56,144.19,5071400
953769600,142.0,150.38,140.0,141.31,5022900
953856000,142.44,143.94,135.5,138.69,3990300
954115200,137.63,144.75,136.88,139.56,2492700
954201600,137.25,142.0,137.13,139.13,1812200
954288000,139.38,139.44,133.83,135.94,2141400
954374400,133.56,137.69,125.44,125.75,3700000
954460800,127.44,137.25,126.0,135.81,3612800
954720000,135.5,139.5,129.44,133.31,2933600
954806400,132.63,133.0,116.75,127.31,5895800
954892800,126.47,132.88,124.0,130.38,4086300
954979200,130.63,134.5,123.25,125.19,2318100
955065600,127.25,131.88,125.5,131.75,2164600
955324800,131.69,132.75,124.75,125.0,1895200
955411200,123.5,124.87,118.06,119.44,4837700
955497600,119.0,119.0,104.87,109.25,8403000
955584000,111.5,120.0,108.5,113.81,4730600
955670400,109.31,118.0,109.0,111.87,5960900
955929600,109.5,123.94,109.06,123.87,3656800
956016000,123.5,126.87,119.37,126.87,3490400
956102400,126.19,130.25,119.75,121.12,4644200
956188800,123.69,124.75,117.06,118.87,6447500
956534400,115.0,120.5,114.75,120.5,3960900
956620800,122.12,128.75,122.06,128.31,3496800
956707200,126.62,128.0,120.0,121.31,3276000
956793600,117.19,127.0,116.58,126.75,2916100
956880000,127.12,127.5,121.31,124.06,2228400
957139200,124.87,125.12,121.87,124.31,2019600
957225600,123.25,126.25,117.5,117.87,2111000
957312000,118.94,121.25,111.62,115.06,4373200
957398400,115.12,115.25,110.56,110.69,3567100
957484800,110.81,114.75,110.72,113.12,2536400
957744000,112.09,113.69,110.0,110.12,1650900
957830400,110.31,111.25,104.87,105.44,2920900
957916800,104.06,105.0,98.75,99.31,4777600
958003200,101.37,104.25,99.0,102.81,4462000
958089600,106.0,110.5,104.77,107.62,2740300
958348800,108.06,108.06,100.12,101.0,6061900
958435200,104.52,109.06,102.75,105.69,3932600
958521600,103.62,103.69,100.37,101.37,3554400
958608000,103.0,104.94,100.62,100.75,3337300
958694400,99.25,99.25,93.37,94.0,6613100
958953600,93.75,93.75,86.0,89.94,6745600
959040000,90.5,93.37,85.62,85.81,4621300
959126400,86.19,89.75,83.0,87.69,6057700
959212800,88.5,92.66,86.0,87.27,3631700
959299200,88.0,89.87,85.25,86.37,1617400
959644800,87.62,88.12,81.75,87.56,6366600
959731200,86.87,91.25,83.81,84.0,3870600
959817600,81.75,89.56,80.37,89.12,8070000
959904000,93.75,99.75,89.0,92.56,7079000
960163200,93.31,95.25,89.69,91.31,2889900
960249600,91.97,96.75,90.31,92.87,4691800
960336000,93.62,97.0,91.62,96.56,3009100
960422400,97.62,98.5,93.12,94.81,2129700
960508800,96.75,97.94,94.37,95.75,2253200
960768000,96.37,96.44,90.87,91.19,2592300
